Name,BSE Code,NSE Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Price to book value,Return on equity,Return on capital employed,Debt to equity,Sales,Sales preceding year,Profit after tax,Profit after tax preceding year,EPS growth 3Years,OPM,NPM last year,Interest Coverage Ratio,Promoter holding,FII holding,DII holding,Return over 1year,Return over 3years,Return over 5years
Adani Ports,532921,ADANIPORTS,Transport Infrastructure,Port & Port services,1512.00,326613.11,27.19,4.91,18.76,13.80,0.85,34745.59,26710.56,12001.54,8872.53,26.39,59.41,35.31,4.81,65.89,13.61,15.03,25.88,19.89,28.56
Anant Raj,515055,ANANTRAJ,Realty,"Residential, Commercial Projects",559.35,20129.72,40.86,4.39,10.89,11.17,0.13,2298.49,1483.30,492.96,260.88,88.28,25.86,20.68,53.74,57.35,13.68,5.93,-19.39,77.79,84.28
Apar Inds.,532259,APARINDS,Electrical Equipment,Other Electrical Equipment,8839.95,35508.56,37.76,7.36,19.50,32.70,0.14,20745.76,16152.98,939.50,819.95,45.84,8.33,4.40,4.08,57.77,9.24,22.64,-11.54,78.56,89.54
Aurionpro Sol.,532668,AURIONPRO,IT - Software,Computers - Software & Consulting,1085.00,5990.68,29.47,3.74,15.30,18.07,0.02,1327.55,887.47,203.33,140.75,29.54,20.33,16.06,40.97,26.88,15.55,1.89,-31.11,84.53,95.66
BSE,,BSE,Capital Markets,Exchange and Data Platform,2841.80,115746.26,64.35,22.17,36.04,46.57,0.00,3698.51,1568.15,1797.89,533.94,70.43,56.32,43.23,,0.00,16.25,19.91,89.75,147.30,115.63
C D S L,,CDSL,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",1586.40,33155.76,70.10,19.02,32.70,41.96,0.00,1080.26,812.26,473.00,419.06,19.22,53.36,48.67,4197.13,15.00,11.54,14.18,-3.64,37.41,43.57
Cams Services,543232,CAMS,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",3835.80,18998.76,43.22,16.87,43.94,54.75,0.06,1372.26,1054.48,440.03,326.27,14.20,45.55,31.62,88.60,0.00,46.90,20.76,-23.41,19.76,22.01
Dixon Technolog.,540699,DIXON,Consumer Durables,Consumer Electronics,14502.60,87941.97,67.98,21.64,32.85,39.95,0.34,48436.92,17690.90,1292.76,368.39,58.90,3.88,2.24,13.02,28.92,20.69,28.93,-13.11,49.32,44.83
IFB Industries,505726,IFBIND,Consumer Durables,Household Appliances,1625.45,6586.33,49.99,7.04,16.25,19.85,0.18,5149.37,4311.68,131.76,68.77,65.23,5.82,2.60,7.88,74.96,0.92,6.22,-3.03,20.62,15.67
Jash Engineering,544402,JASH,Industrial Manufacturing,Industrial Products,457.65,2878.85,37.27,6.52,22.35,24.95,0.25,766.21,515.67,77.26,66.77,37.33,15.08,11.79,7.69,43.40,2.06,0.53,-24.48,39.77,61.24
Kaynes Tech,543664,KAYNES,Industrial Manufacturing,Industrial Products,5404.00,36225.61,95.63,7.76,10.74,14.28,0.19,3225.35,1804.52,378.68,181.48,70.47,16.21,10.52,5.37,53.46,10.71,23.66,-15.20,93.45,
Netweb Technol.,543945,NETWEB,IT - Services,IT Enabled Services,3181.45,18024.18,133.58,31.16,23.93,32.45,0.03,1353.57,724.08,134.84,75.72,-20.25,14.29,9.92,40.81,71.00,10.82,3.57,15.44,,
Newgen Software,540900,NEWGEN,IT - Software,Computers - Software & Consulting,867.70,12348.90,37.49,7.75,22.50,27.97,0.03,1532.45,1243.83,328.80,249.45,23.15,25.64,20.73,81.11,53.76,17.62,9.58,-25.20,68.15,45.08
PTC Industries,539006,PTCIL,Industrial Products,Other Industrial Products,18320.80,27452.11,436.85,19.38,6.07,7.74,0.13,410.62,256.88,62.84,42.31,56.81,19.11,20.03,15.23,59.75,3.41,8.51,53.48,84.80,119.91
Synergy Green,541929,SGIL,Industrial Products,Castings & Forgings,552.00,857.98,55.26,7.68,21.88,20.85,1.79,350.15,326.31,15.53,11.50,135.48,14.12,4.66,2.29,69.39,0.42,0.00,16.94,59.51,45.99
The Anup Enginee,542460,ANUP,Industrial Manufacturing,Industrial Products,2240.65,4488.34,37.39,7.05,,,0.25,800.95,,120.06,,22.60,22.53,15.78,36.60,40.98,3.97,15.73,-37.21,72.44,48.76
Time Technoplast,532856,TIMETECHNO,Industrial Products,Plastic Products - Industrial,195.25,9638.21,22.88,2.92,14.22,17.35,0.22,5720.24,4992.50,420.82,302.45,27.15,14.54,7.21,7.52,47.46,11.05,16.62,-11.20,60.52,51.52
Uno Minda,532539,UNOMINDA,Auto Components,Auto Components & Equipments,1295.20,74703.32,68.35,11.95,17.50,18.83,0.46,18015.43,14030.89,1093.46,854.80,39.20,11.54,6.03,9.41,68.45,9.98,15.80,28.12,33.01,46.46
Va Tech Wabag,533269,WABAG,Other Utilities,Water Supply & Management,1381.20,8604.10,26.93,3.68,14.60,19.70,0.10,3535.70,2856.40,320.30,234.46,31.79,11.97,8.76,6.23,19.10,18.40,4.47,-26.93,60.53,45.78
